experiment,N,runs,joint_acc_mean,joint_acc_std,disjoint_acc_mean,disjoint_acc_std,disjoint_acc_min,disjoint_acc_cv,joint_rev_mean,disjoint_rev_mean,rev_uplift_pct,p_accept,p_revenue
"FatTree (k=6, default VNFM)",10,15,100.0,0.0,46.0,32.0,0.0,69.56521739130434,4453.333333333333,1913.3333333333333,132.75261324041813,0.0006337625600278512,0.0006516660806139112
"FatTree (k=6, default VNFM)",15,15,100.0,0.0,18.666666666666668,11.725249740687037,0.0,62.81383789653769,6586.666666666667,1000.0,558.6666666666667,0.0005943431422683601,0.0006418578334382445
"FatTree (k=6, default VNFM)",20,15,100.0,0.0,20.333333333333332,8.459051693633015,5.0,41.60189357524434,8886.666666666666,1593.3333333333333,457.74058577405856,0.0006193694087791741,0.0006533107814151373
"FatTree (k=6, default VNFM)",25,15,100.0,0.0,31.2,24.62302445544278,8.0,78.91995017770122,11133.333333333334,3266.6666666666665,240.8163265306123,0.0006337625600278512,0.0006516660806139112
"FatTree (k=6, default VNFM)",30,15,100.0,0.0,60.222222222222236,33.29924182579597,6.666666666666667,55.293943991174096,13326.666666666666,7906.666666666667,68.54974704890387,0.0006369921517973461,0.0006533107814151373
"FatTree (k=6, default VNFM)",35,15,100.0,0.0,85.71428571428572,5.993193418115148,77.14285714285715,6.992058987801005,15466.666666666666,13073.333333333334,18.306986231514525,0.0006193694087791741,0.0006500242387180627
"FatTree (k=6, default VNFM)",40,15,100.0,0.0,83.16666666666667,12.827920936595905,62.5,15.424353831578241,17973.333333333332,14686.666666666666,22.378574670903312,0.001454121548422154,0.0006500242387180627
"FatTree (k=6, default VNFM)",45,15,100.0,0.0,87.70370370370371,17.400944426697507,44.44444444444444,19.84060386490003,20146.666666666668,17553.333333333332,14.774022028104838,0.001302960491916354,0.0008854922673572254
"FatTree (k=6, default VNFM)",50,15,99.86666666666666,0.4988876515698589,70.53333333333333,27.70768044343582,36.0,39.28310081772564,22440.0,15633.333333333334,43.53944562899786,0.0009506753746210517,0.001218206740433149
"FatTree (k=6, default VNFM)",55,15,100.0,0.0,61.45454545454545,29.236001806897136,23.636363636363637,47.573375721282325,24446.666666666668,14613.333333333334,67.29014598540147,0.0006467491225764763,0.0006533107814151373
"FatTree (k=6, default VNFM)",60,15,99.88888888888889,0.4157397096415501,56.44444444444446,26.421558724498045,28.333333333333332,46.80984813395322,26940.0,14713.333333333334,83.0992297236067,0.0014590203259492514,0.0008033132570914438
"FatTree (k=6, default VNFM)",65,15,99.8974358974359,0.38375973197681307,65.64102564102564,31.276165902859145,29.230769230769234,47.64728399263698,29313.333333333332,18886.666666666668,55.20649488175078,0.0021401771616067935,0.0001220703125
"FatTree (k=6, default VNFM)",70,15,100.0,0.0,53.238095238095234,28.72087897138402,25.71428571428571,53.94798375662473,31486.666666666668,16313.333333333334,93.01185124642419,0.0033144529966970047,0.001221612009450628
"FatTree (k=6, default VNFM)",75,15,99.82222222222224,0.45324617898602376,53.6,27.735042682364718,32.0,51.74448261635208,33713.333333333336,17340.0,94.4252210688197,0.0021401771616067935,0.0006533107814151373
"FatTree (k=6, default VNFM)",80,15,100.0,0.0,56.0,25.865034312755125,33.75,46.187561272777,36253.333333333336,19553.333333333332,85.40743266280262,0.0014590203259492514,0.0006533107814151373
"FatTree (k=6, default VNFM)",85,15,100.0,0.0,50.58823529411765,24.550397756217027,31.76470588235294,48.52985602973133,37846.666666666664,18540.0,104.13520316432935,0.0009646226188569388,0.0012035589524892632
"FatTree (k=6, default VNFM)",90,15,100.0,0.0,59.55555555555556,27.734188021018127,27.77777777777778,46.56859928902297,40500.0,23360.0,73.37328767123287,0.0009758787856927136,0.0001220703125
USnet (4-hop manager radius),10,15,100.0,0.0,34.666666666666664,28.015868519267592,0.0,80.81500534404114,4473.333333333333,1420.0,215.02347417840375,0.000585142024432055,0.0006500242387180627
USnet (4-hop manager radius),15,15,100.0,0.0,41.777777777777786,10.173798348675197,26.666666666666668,24.35217689842467,6926.666666666667,2733.3333333333335,153.41463414634146,0.0006005327108209382,0.0006386112041971716
USnet (4-hop manager radius),20,15,100.0,0.0,42.333333333333336,9.637888196533973,25.0,22.76666503118261,8940.0,3533.3333333333335,153.01886792452828,0.0006289394206546051,0.0006483852534615972
USnet (4-hop manager radius),25,15,100.0,0.0,45.06666666666667,20.47263756551385,24.0,45.42745021933546,11133.333333333334,4833.333333333333,130.34482758620692,0.0006434854148379289,0.0006533107814151373
USnet (4-hop manager radius),30,15,99.77777777777779,0.831479419283097,68.66666666666669,22.666666666666664,40.0,33.00970873786406,13313.333333333334,9020.0,47.5979305247598,0.0006353759378356658,0.0006451158437926243
USnet (4-hop manager radius),35,15,100.0,0.0,94.0952380952381,4.233544908741499,85.71428571428571,4.499212706658475,15486.666666666666,14693.333333333334,5.399274047186924,0.002022962939156466,0.0013230752014215497
USnet (4-hop manager radius),40,15,99.83333333333333,0.6236095644623236,85.33333333333333,8.359957469322968,72.5,9.796825159362852,17913.333333333332,15433.33333333332,16.06911447084243,0.0012080284739573587,0.0001220703125
USnet (4-hop manager radius),45,15,99.85185185185186,0.5543196128554001,87.1111111111111,11.012899282990105,57.77777777777777,12.642358870779457,19813.333333333332,17586.666666666668,12.661106899166018,0.0006146224121124649,0.0006483852534615972
USnet (4-hop manager radius),50,15,99.86666666666666,0.4988876515698589,93.6,2.5508168626278653,88.0,2.7252316908417367,22213.333333333332,21019.99999999999,5.677132889311816,0.0006146224121124649,0.0006467491225764763
USnet (4-hop manager radius),55,15,99.63636363636364,0.7272727272727252,89.81818181818181,9.14649671753381,58.18181818181818,10.183346547861529,24113.333333333256,21866.666666666668,10.274390243902078,0.0006257381332060302,0.0001220703125
USnet (4-hop manager radius),60,15,99.55555555555553,0.7370277311900909,90.33333333333333,3.858612300930072,81.66666666666667,4.271526532394914,26640.0,24546.666666666537,8.527973927214044,0.0006273373645791829,0.0006516660806139112
USnet (4-hop manager radius),65,15,99.2820512820513,0.7675194639536262,88.2051282051282,11.188422681677654,47.69230769230769,12.684548970506643,28833.333333333332,25759.999999999873,11.930641821946718,0.0006146224121124649,6.103515625e-05
USnet (4-hop manager radius),70,15,99.80952380952382,0.4856209060564516,92.09523809523809,3.3346936000022094,87.14285714285714,3.620918593590817,31360.0,29419.999999999935,6.594153636981883,0.0009506753746210517,0.0008033132570914438
USnet (4-hop manager radius),75,15,99.3777777777778,0.6651835354264761,87.73333333333333,11.210577016239487,46.666666666666664,12.778013316382394,33140.0,29659.99999999999,11.732973701955537,0.0006305443037266362,0.0006500242387180627
USnet (4-hop manager radius),80,15,99.41666666666667,0.6236095644623236,91.41666666666667,2.8087165910587863,86.25,3.072433827958563,35686.666666666664,33319.99999999999,7.102841136454598,0.0006386112041971716,0.0006516660806139112
USnet (4-hop manager radius),85,15,99.21568627450979,0.7015115223528748,90.58823529411764,8.429092258903793,60.0,9.304842103984708,37600.0,34986.66666666639,7.4695121951228085,0.0006369921517973461,6.103515625e-05
USnet (4-hop manager radius),90,15,99.25925925925927,0.7768954430890035,91.70370370370371,1.9401186449938945,88.88888888888889,2.115638263927106,39840.0,37473.33333333325,6.315602206013406,0.0006337625600278512,0.0006516660806139112
USnet (default VNFM),50,10,100.0,0.0,100.0,0.0,100.0,0.0,23000.0,23010.0,-0.0434593654932638,,1.0
USnet (default VNFM),75,10,100.0,0.0,100.0,0.0,100.0,0.0,34180.0,34260.0,-0.23350846468184472,,0.0078125
USnet (default VNFM),100,10,100.0,0.0,100.0,0.0,100.0,0.0,45430.0,45560.0,-0.28533801580333623,,0.001953125
USnet (default VNFM),125,10,100.0,0.0,100.0,0.0,100.0,0.0,57180.0,57380.0,-0.34855350296270476,,0.001953125
USnet (default VNFM),150,10,99.86666666666666,0.2666666666666686,100.0,0.0,100.0,0.0,68750.0,69360.0,-0.8794694348327567,0.5,0.001953125
