load,constraint,joint,disjoint,disjoint_std,gap
2,with,100.0,87.5,21.650635094610966,12.5
2,without,100.0,100.0,0.0,0.0
3,with,100.0,83.33333333333333,16.66666666666667,16.66666666666667
3,without,100.0,100.0,0.0,0.0
4,with,100.0,81.25,16.535945694153693,18.75
4,without,100.0,100.0,0.0,0.0
5,with,100.0,82.5,15.612494995995995,17.5
5,without,100.0,100.0,0.0,0.0
6,with,93.75,77.08333333333334,16.535945694153693,16.666666666666657
6,without,93.75,93.75,8.068715304598781,0.0
7,with,87.5,75.0,15.567496226930976,12.5
7,without,87.5,87.5,8.563984863058428,0.0
8,with,78.125,73.4375,11.587810136086974,4.6875
8,without,78.125,78.125,8.267972847076846,0.0
9,with,70.83333333333334,69.44444444444446,7.349309197401646,1.3888888888888857
9,without,70.83333333333334,70.83333333333334,7.733006059486146,0.0
10,with,63.75,63.75,6.959705453537527,0.0
10,without,63.75,63.75,6.959705453537527,0.0
12,with,54.16666666666667,54.16666666666667,7.21687836487032,0.0
12,without,54.16666666666667,54.16666666666667,4.166666666666668,0.0
