run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,86700,7400,175,200,bari,10120.897302627563
1,86700,7400,175,200,bari,10100.601089715958
2,86700,7400,175,200,bari,10110.852563142776
3,86700,7400,175,200,bari,10122.309566497803
4,86700,7400,175,200,bari,10126.420850276947
5,86700,7400,175,200,bari,10122.929081916809
6,86700,7400,175,200,bari,10132.36922454834
7,86700,7400,175,200,bari,10119.740111112595
8,86700,7400,175,200,bari,9646.42468714714
9,86700,7400,175,200,bari,9640.55176615715
