run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,87500,7600,178,200,oabu,10970.838282823563
1,88000,7500,179,200,oabu,10928.92920923233
2,87100,7500,176,200,oabu,10921.644019126892
3,87500,7600,178,200,oabu,10950.013496875763
4,87600,7500,178,200,oabu,10931.447095870972
5,87200,7500,177,200,oabu,10934.710238695145
6,87000,7500,177,200,oabu,10918.790888309479
7,87500,7500,177,200,oabu,10937.280447006226
8,87900,7600,178,200,oabu,10409.004558086395
9,87600,7600,178,200,oabu,10388.728419780731
