run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,49800,4600,100,100,rari,5063.512724399567
1,49800,4600,100,100,rari,5043.171053886414
2,49800,4500,100,100,rari,4951.346449375153
3,49800,4700,100,100,rari,5049.024486541748
4,49800,4600,100,100,rari,5102.442346096039
5,49800,4700,100,100,rari,5036.634788274765
6,49800,4600,100,100,rari,4969.083904027939
7,49800,4600,100,100,rari,5069.127446651459
8,49800,4500,100,100,rari,4781.928874731064
9,49800,4600,100,100,rari,4748.192224025726
